,WEASEL,1-NN DTW CV,1-NN DTW,BOSS,Learning Shapelet (LS),TSBF,ST,EE (PROP),COTE (ensemble),MLP,CNN,ResNet,With Attention,Without Attention
WEASEL,1.169004136580968e-15,5.015958549461888e-11,7.802814341763864e-12,7.125134311680671e-05,3.2993397383855184e-06,1.6584368815329935e-07,0.011534113388820627,2.903245379126521e-06,0.47373313580573395,6.106471966515493e-15,1.7261448450890279e-15,1.8530454757211396e-15,0.0011578004560989764,1.669123310435548e-09
1-NN DTW CV,5.015958549461888e-11,1.169004136580968e-15,0.00014392948966534874,6.01191574330558e-07,0.0003466070786760275,0.014750355347060642,2.9151206181019676e-07,3.0424328626966855e-10,6.411684114097129e-14,2.9574699886609714e-14,3.4933905401169365e-15,3.747359535177279e-15,1.824324704252357e-11,4.584961513937885e-14
1-NN DTW,7.802814341763864e-12,0.00014392948966534874,1.169004136580968e-15,7.78264797778879e-11,5.305341809416172e-07,3.4282672856929206e-05,4.2055036989554467e-10,7.117480046932234e-12,2.3322872808445124e-14,4.433358867760222e-14,4.3087795701890906e-15,5.127242789635172e-15,5.58628376552962e-13,3.1457985591936917e-15
BOSS,7.125134311680671e-05,6.01191574330558e-07,7.78264797778879e-11,1.169004136580968e-15,0.04547060088868994,0.0020221521695036057,0.12351412691700007,0.037402349444553784,0.0003768175486330712,9.575103906541411e-15,2.210871406106668e-15,2.210871406106668e-15,8.152288248553477e-07,2.773961293808731e-11
Learning Shapelet (LS),3.2993397383855184e-06,0.0003466070786760275,5.305341809416172e-07,0.04547060088868994,1.169004136580968e-15,0.42771953803126805,0.0036712134149708593,0.9006183592488797,5.044015149430682e-10,2.5822760842305622e-14,2.8288737386570624e-15,3.0363788808494857e-15,3.0161627500957798e-09,1.9667152383312873e-14
TSBF,1.6584368815329935e-07,0.014750355347060642,3.4282672856929206e-05,0.0020221521695036057,0.42771953803126805,1.169004136580968e-15,0.0005457721998118288,0.44842296225657385,3.831985855093325e-09,2.035472760696038e-14,2.2919932378854128e-15,2.6387593979546908e-15,2.0157449954442906e-10,6.545456202207817e-15
ST,0.011534113388820627,2.9151206181019676e-07,4.2055036989554467e-10,0.12351412691700007,0.0036712134149708593,0.0005457721998118288,1.169004136580968e-15,0.001743488768361608,0.0011400448547835389,8.340128613345784e-15,1.989735135292664e-15,2.0615974511718587e-15,4.16353252499676e-06,1.7034478286276451e-12
EE (PROP),2.903245379126521e-06,3.0424328626966855e-10,7.117480046932234e-12,0.037402349444553784,0.9006183592488797,0.44842296225657385,0.001743488768361608,1.169004136580968e-15,2.1515629339763306e-11,1.137506158695697e-14,2.546730601136984e-15,2.5457595599631257e-15,3.1664377390912206e-08,3.339789751288282e-12
COTE (ensemble),0.47373313580573395,6.411684114097129e-14,2.3322872808445124e-14,0.0003768175486330712,5.044015149430682e-10,3.831985855093325e-09,0.0011400448547835389,2.1515629339763306e-11,1.169004136580968e-15,6.545456202207817e-15,1.7872462969578446e-15,1.7872462969578446e-15,0.0018781017911499315,7.975093857390987e-10
MLP,6.106471966515493e-15,2.9574699886609714e-14,4.433358867760222e-14,9.575103906541411e-15,2.5822760842305622e-14,2.035472760696038e-14,8.340128613345784e-15,1.137506158695697e-14,6.545456202207817e-15,1.169004136580968e-15,3.920009027109627e-10,5.8064448361551666e-08,7.014949336245023e-15,4.162126781265566e-15
CNN,1.7261448450890279e-15,3.4933905401169365e-15,4.3087795701890906e-15,2.210871406106668e-15,2.8288737386570624e-15,2.2919932378854128e-15,1.989735135292664e-15,2.546730601136984e-15,1.7872462969578446e-15,3.920009027109627e-10,1.169004136580968e-15,0.1421258113281918,1.9160605314766207e-15,1.7230827537586655e-15
ResNet,1.8530454757211396e-15,3.747359535177279e-15,5.127242789635172e-15,2.210871406106668e-15,3.0363788808494857e-15,2.6387593979546908e-15,2.0615974511718587e-15,2.5457595599631257e-15,1.7872462969578446e-15,5.8064448361551666e-08,0.1421258113281918,1.169004136580968e-15,2.134212928317079e-15,1.7202913831144713e-15
With Attention,0.0011578004560989764,1.824324704252357e-11,5.58628376552962e-13,8.152288248553477e-07,3.0161627500957798e-09,2.0157449954442906e-10,4.16353252499676e-06,3.1664377390912206e-08,0.0018781017911499315,7.014949336245023e-15,1.9160605314766207e-15,2.134212928317079e-15,1.169004136580968e-15,9.801430961343427e-10
Without Attention,1.669123310435548e-09,4.584961513937885e-14,3.1457985591936917e-15,2.773961293808731e-11,1.9667152383312873e-14,6.545456202207817e-15,1.7034478286276451e-12,3.339789751288282e-12,7.975093857390987e-10,4.162126781265566e-15,1.7230827537586655e-15,1.7202913831144713e-15,9.801430961343427e-10,1.169004136580968e-15
